"ID_SOCIEDAD","ID_SEGMENTO","SEGMENTO2","ID_LINEA_PRODUCTO_AGREG","ID_AGRUP_PRODUCTO","ID_AGRUP_PROD","ID_AGRUP_CANAL","ID_ZONA","Altas.M","freq"
"SOC01","SEG01","LP03",3,5,"PROD01",2,"ZONA03",221,0.535108958837772
"SOC01","SEG01","LP03",3,5,"PROD01",5,"PDTE",0,0
"SOC01","SEG01","LP03",3,5,"PROD01",5,"ZONA01",1442,0.493835616438356
"SOC01","SEG01","LP03",3,5,"PROD01",5,"ZONA02",237,0.0811643835616438
"SOC01","SEG01","LP03",3,5,"PROD01",5,"ZONA03",1241,0.425
"SOC01","SEG01","LP03",3,5,"PROD01",6,"PDTE",0,0
"SOC01","SEG01","LP03",3,5,"PROD01",6,"ZONA01",3315,0.490312084011241
"SOC01","SEG01","LP03",3,5,"PROD01",6,"ZONA02",140,0.0207069960065079
"SOC01","SEG01","LP03",3,5,"PROD01",6,"ZONA03",3306,0.488980919982251
"SOC01","SEG01","LP03",3,5,"PROD01",7,"ZONA01",10,0.434782608695652
"SOC01","SEG01","LP03",3,5,"PROD01",7,"ZONA02",5,0.217391304347826
"SOC01","SEG01","LP03",3,5,"PROD01",7,"ZONA03",8,0.347826086956522
"SOC01","SEG01","LP03",3,5,"PROD01",9,"ZONA01",676,0.474053295932679
"SOC01","SEG01","LP03",3,5,"PROD01",9,"ZONA02",135,0.0946704067321178
"SOC01","SEG01","LP03",3,5,"PROD01",9,"ZONA03",615,0.431276297335203
"SOC01","SEG01","LP04",4,6,"PROD01",2,"ZONA01",3,0.0789473684210526
"SOC01","SEG01","LP04",4,6,"PROD01",2,"ZONA02",1,0.0263157894736842
"SOC01","SEG01","LP04",4,6,"PROD01",2,"ZONA03",34,0.894736842105263
"SOC01","SEG01","LP04",4,6,"PROD01",5,"ZONA01",43,0.467391304347826
"SOC01","SEG01","LP04",4,6,"PROD01",5,"ZONA02",22,0.239130434782609
"SOC01","SEG01","LP04",4,6,"PROD01",5,"ZONA03",27,0.293478260869565
"SOC01","SEG01","LP04",4,6,"PROD01",6,"ZONA01",53,0.509615384615385
"SOC01","SEG01","LP04",4,6,"PROD01",6,"ZONA02",29,0.278846153846154
"SOC01","SEG01","LP04",4,6,"PROD01",6,"ZONA03",22,0.211538461538462
"SOC01","SEG01","LP04",4,6,"PROD01",7,"ZONA01",18,0.461538461538462
"SOC01","SEG01","LP04",4,6,"PROD01",7,"ZONA02",10,0.256410256410256
"SOC01","SEG01","LP04",4,6,"PROD01",7,"ZONA03",11,0.282051282051282
"SOC01","SEG01","LP04",4,6,"PROD01",9,"ZONA01",5,0.5
"SOC01","SEG01","LP04",4,6,"PROD01",9,"ZONA02",2,0.2
"SOC01","SEG01","LP04",4,6,"PROD01",9,"ZONA03",3,0.3
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",1,"ZONA01",1,0.0833333333333333
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",1,"ZONA02",3,0.25
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",1,"ZONA03",8,0.666666666666667
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",2,"ZONA01",50,0.304878048780488
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",2,"ZONA02",40,0.24390243902439
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",2,"ZONA03",74,0.451219512195122
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",5,"ZONA01",204,0.521739130434783
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",5,"ZONA02",8,0.020460358056266
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",5,"ZONA03",179,0.457800511508951
"SOC01","SEG01","SUBSEG01",2,2,"PROD04",6,"PDTE",0,0
